0,Design Artifacts ,min,max
0,Code Documentation ,min,max      
0,Test Case,min,max  
0,Code coverage,min,max  
1,Elicitation report ,min,max      
1,Traceability ,min,max      
2,User experience ,min,max      
2,Maintainability ,min,max      
2,Portability,min,max      
2,Performance ,min,max      
3,User experience ,min,max      
3,Maintainability ,min,max      
3,Portability,min,max    
3,Performance ,min,max      
4,User experience ,min,max      
4,Maintainability ,min,max      
4,Portability,min,max      
4,Performance ,min,max      
5,User experience ,min,max      
5,Maintainability ,min,max      
5,Portability,min,max  
5,Performance ,min,max 
6,Internazionalization ,min,max 
6,Time-to-Market ,min,max 
6,Coffee quality,min,max 
